name,path,cssCustomProperty,defaultValue,description,exampleValue,usage,cssProperties,source
color.border.accent.yellow.subtle,color; border; accent; yellow; subtle,--ds-border-accent-yellow-subtle,#EED12B,Use for decorative yellow borders that do not need to meet 3:1 contrast requirements.,#EED12B,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.accent.green,color; border; accent; green; [default],--ds-border-accent-green,#22A06B,Use for green borders on non-bold backgrounds when there is no meaning tied to the color.,#22A06B,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.accent.green.subtle,color; border; accent; green; subtle,--ds-border-accent-green-subtle,#7EE2B8,Use for decorative green borders that do not need to meet 3:1 contrast requirements.,#7EE2B8,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.accent.teal,color; border; accent; teal; [default],--ds-border-accent-teal,#2898BD,Use for teal borders on non-bold backgrounds when there is no meaning tied to the color.,#2898BD,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.accent.teal.subtle,color; border; accent; teal; subtle,--ds-border-accent-teal-subtle,#9DD9EE,Use for decorative teal borders that do not need to meet 3:1 contrast requirements.,#9DD9EE,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.accent.blue,color; border; accent; blue; [default],--ds-border-accent-blue,#357DE8,Use for blue borders on non-bold backgrounds when there is no meaning tied to the color.,#357DE8,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.accent.blue.subtle,color; border; accent; blue; subtle,--ds-border-accent-blue-subtle,#8FB8F6,Use for decorative blue borders that do not need to meet 3:1 contrast requirements.,#8FB8F6,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.accent.purple,color; border; accent; purple; [default],--ds-border-accent-purple,#AF59E1,Use for purple borders on non-bold backgrounds when there is no meaning tied to the color.,#AF59E1,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.accent.purple.subtle,color; border; accent; purple; subtle,--ds-border-accent-purple-subtle,#D8A0F7,Use for decorative purple borders that do not need to meet 3:1 contrast requirements.,#D8A0F7,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.accent.magenta,color; border; accent; magenta; [default],--ds-border-accent-magenta,#CD519D,Use for magenta borders on non-bold backgrounds when there is no meaning tied to the color.,#CD519D,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.accent.magenta.subtle,color; border; accent; magenta; subtle,--ds-border-accent-magenta-subtle,#F797D2,Use for decorative magenta borders that do not need to meet 3:1 contrast requirements.,#F797D2,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.accent.gray,color; border; accent; gray; [default],--ds-border-accent-gray,#7D818A,Use for borders on non-bold gray accent backgrounds.,#7D818A,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.accent.gray.subtle,color; border; accent; gray; subtle,--ds-border-accent-gray-subtle,#B7B9BE,Use for decorative gray borders that do not need to meet 3:1 contrast requirements.,#B7B9BE,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.disabled,color; border; disabled,--ds-border-disabled,#0515240F,Use for borders of elements in a disabled state.,#0515240F,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.focused,color; border; focused,--ds-border-focused,#4688EC,Use for focus rings of elements in a focus state.,#4688EC,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.input,color; border; input,--ds-border-input,#8C8F97,"Use for borders of form UI elements, such as text fields, checkboxes, and radio buttons.",#8C8F97,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.inverse,color; border; inverse,--ds-border-inverse,#FFFFFF,Use for borders on bold backgrounds.,#FFFFFF,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.selected,color; border; selected,--ds-border-selected,#1868DB,"Use for borders or visual indicators of elements in a selected or opened state, such as in tabs or menu items.",#1868DB,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.brand,color; border; brand,--ds-border-brand,#1868DB,"Use for borders or visual indicators of elements that reinforce our brand, such as logos or primary buttons.",#1868DB,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.danger,color; border; danger; [default],--ds-border-danger,#E2483D,"Use for borders communicating critical information, such as the borders on invalid text fields.",#E2483D,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.danger.subtle,color; border; danger; subtle,--ds-border-danger-subtle,#FD9891,Use for decorative danger borders that do not need to meet 3:1 contrast requirements.,#FD9891,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.warning,color; border; warning; [default],--ds-border-warning,#E06C00,Use for borders communicating caution.,#E06C00,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.warning.subtle,color; border; warning; subtle,--ds-border-warning-subtle,#FBC828,Use for decorative warning borders that do not need to meet 3:1 contrast requirements.,#FBC828,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.success,color; border; success; [default],--ds-border-success,#6A9A23,"Use for borders communicating a favorable outcome, such as the borders on validated text fields.",#6A9A23,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.success.subtle,color; border; success; subtle,--ds-border-success-subtle,#B3DF72,Use for decorative success borders that do not need to meet 3:1 contrast requirements.,#B3DF72,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.discovery,color; border; discovery; [default],--ds-border-discovery,#AF59E1,"Use for borders communicating change or something new, such as the borders in onboarding spotlights.",#AF59E1,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.discovery.subtle,color; border; discovery; subtle,--ds-border-discovery-subtle,#D8A0F7,Use for decorative discovery borders that do not need to meet 3:1 contrast requirements.,#D8A0F7,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.information,color; border; information; [default],--ds-border-information,#357DE8,Use for borders communicating information or something in-progress.,#357DE8,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.information.subtle,color; border; information; subtle,--ds-border-information-subtle,#8FB8F6,Use for decorative information borders that do not need to meet 3:1 contrast requirements.,#8FB8F6,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.border.bold,color; border; bold,--ds-border-bold,#7D818A,A neutral border option that passes min 3:1 contrast ratios.,#7D818A,"The color for borders or outlines. Use for border and outline colors on components (e.g. color.border, color.border.focused)",border-color; outline-color,token-metadata.codegen.js
color.text,color; text; [default],--ds-text,#292A2E,"Use for primary text, such as body copy, sentence case headers, and buttons.",#292A2E,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.lime,color; text; accent; lime; [default],--ds-text-accent-lime,#4C6B1F,Use for lime text on subtlest and subtler lime accent backgrounds when there is no meaning tied to the color.,#4C6B1F,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.lime.bolder,color; text; accent; lime; bolder,--ds-text-accent-lime-bolder,#37471F,Use for lime text on subtle lime accent backgrounds when there is no meaning tied to the color.,#37471F,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.red,color; text; accent; red; [default],--ds-text-accent-red,#AE2E24,Use for red text on subtlest and subtler red accent backgrounds when there is no meaning tied to the color.,#AE2E24,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.red.bolder,color; text; accent; red; bolder,--ds-text-accent-red-bolder,#5D1F1A,Use for red text on subtle red accent backgrounds when there is no meaning tied to the color.,#5D1F1A,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.orange,color; text; accent; orange; [default],--ds-text-accent-orange,#9E4C00,Use for orange text on subtlest and subtler orange accent backgrounds when there is no meaning tied to the color.,#9E4C00,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.orange.bolder,color; text; accent; orange; bolder,--ds-text-accent-orange-bolder,#693200,Use for orange text on subtle orange accent backgrounds when there is no meaning tied to the color.,#693200,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.yellow,color; text; accent; yellow; [default],--ds-text-accent-yellow,#7F5F01,Use for yellow text on subtlest and subtler yellow accent backgrounds when there is no meaning tied to the color.,#7F5F01,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.yellow.bolder,color; text; accent; yellow; bolder,--ds-text-accent-yellow-bolder,#533F04,Use for yellow text on subtle yellow accent backgrounds when there is no meaning tied to the color.,#533F04,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.green,color; text; accent; green; [default],--ds-text-accent-green,#216E4E,Use for green text on subtlest and subtler green accent backgrounds when there is no meaning tied to the color.,#216E4E,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.green.bolder,color; text; accent; green; bolder,--ds-text-accent-green-bolder,#164B35,Use for green text on subtle green accent backgrounds when there is no meaning tied to the color.,#164B35,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.teal,color; text; accent; teal; [default],--ds-text-accent-teal,#206A83,Use for teal text on subtlest and subtler teal accent backgrounds when there is no meaning tied to the color.,#206A83,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.teal.bolder,color; text; accent; teal; bolder,--ds-text-accent-teal-bolder,#164555,Use for teal text on subtle teal accent backgrounds when there is no meaning tied to the color.,#164555,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.blue,color; text; accent; blue; [default],--ds-text-accent-blue,#1558BC,Use for blue text on subtlest and subtler blue accent backgrounds when there is no meaning tied to the color.,#1558BC,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.blue.bolder,color; text; accent; blue; bolder,--ds-text-accent-blue-bolder,#123263,Use for blue text on subtle blue accent backgrounds when there is no meaning tied to the color.,#123263,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.purple,color; text; accent; purple; [default],--ds-text-accent-purple,#803FA5,Use for purple text on subtlest and subtler purple accent backgrounds when there is no meaning tied to the color.,#803FA5,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.purple.bolder,color; text; accent; purple; bolder,--ds-text-accent-purple-bolder,#48245D,Use for purple text on subtle purple accent backgrounds when there is no meaning tied to the color.,#48245D,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.magenta,color; text; accent; magenta; [default],--ds-text-accent-magenta,#943D73,Use for magenta text on subtlest and subtler magenta accent backgrounds when there is no meaning tied to the color.,#943D73,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.magenta.bolder,color; text; accent; magenta; bolder,--ds-text-accent-magenta-bolder,#50253F,Use for magenta text on subtle magenta accent backgrounds when there is no meaning tied to the color.,#50253F,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.gray,color; text; accent; gray; [default],--ds-text-accent-gray,#505258,"Use for text on non-bold gray accent backgrounds, such as colored tags.",#505258,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.accent.gray.bolder,color; text; accent; gray; bolder,--ds-text-accent-gray-bolder,#1E1F21,Use for text and icons on gray subtle accent backgrounds.,#1E1F21,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.disabled,color; text; disabled,--ds-text-disabled,#080F214A,Use for text in a disabled state.,#080F214A,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.inverse,color; text; inverse,--ds-text-inverse,#FFFFFF,Use for text on bold backgrounds.,#FFFFFF,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.selected,color; text; selected,--ds-text-selected,#1868DB,"Use for text in selected or opened states, such as tabs and dropdown buttons.",#1868DB,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.brand,color; text; brand,--ds-text-brand,#1868DB,Use for text that reinforces our brand.,#1868DB,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.danger,color; text; danger; [default],--ds-text-danger,#AE2E24,"Use for critical text, such as input field error messaging.",#AE2E24,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.danger.bolder,color; text; danger; bolder,--ds-text-danger-bolder,#5D1F1A,Use for text on top of danger semantic labels to ensure accessibility and desired visual appearance.,#5D1F1A,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.warning,color; text; warning; [default],--ds-text-warning,#9E4C00,"Use for text to emphasize caution, such as in moved lozenges.",#9E4C00,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.warning.inverse,color; text; warning; inverse,--ds-text-warning-inverse,#292A2E,Use for text when on bold warning backgrounds.,#292A2E,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.warning.bolder,color; text; warning; bolder,--ds-text-warning-bolder,#693200,Use for text on top of warning semantic labels to ensure accessibility and desired visual appearance.,#693200,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.success,color; text; success; [default],--ds-text-success,#4C6B1F,"Use for text to communicate a favorable outcome, such as input field success messaging.",#4C6B1F,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.success.bolder,color; text; success; bolder,--ds-text-success-bolder,#37471F,Use for text on top of success semantic labels to ensure accessibility and desired visual appearance.,#37471F,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.discovery,color; text; discovery; [default],--ds-text-discovery,#803FA5,"Use for text to emphasize change or something new, such as in new lozenges.",#803FA5,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.discovery.bolder,color; text; discovery; bolder,--ds-text-discovery-bolder,#48245D,Use for text on top of discovery semantic labels to ensure accessibility and desired visual appearance.,#48245D,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.information,color; text; information; [default],--ds-text-information,#1558BC,"Use for informative text or to communicate something is in progress, such as in-progress lozenges.",#1558BC,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.information.bolder,color; text; information; bolder,--ds-text-information-bolder,#123263,Use for text on top of information semantic labels to ensure accessibility and desired visual appearance.,#123263,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.subtlest,color; text; subtlest,--ds-text-subtlest,#6B6E76,"Use for tertiary text, such as meta-data, breadcrumbs, input field placeholder and helper text.",#6B6E76,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.text.subtle,color; text; subtle,--ds-text-subtle,#505258,"Use for secondary text, such as navigation, subtle button links, input field labels, and all caps subheadings.",#505258,"The color for standard text. Use for primary, readable text in most user interface situations (e.g. color.text, color.text.subtle)",color,token-metadata.codegen.js
color.icon,color; icon; [default],--ds-icon,#292A2E,"Use for icon-only buttons, or icons paired with color.text",#292A2E,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.accent.lime,color; icon; accent; lime,--ds-icon-accent-lime,#6A9A23,"Use for lime icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons.",#6A9A23,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.accent.red,color; icon; accent; red,--ds-icon-accent-red,#C9372C,"Use for red icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons.",#C9372C,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.accent.orange,color; icon; accent; orange,--ds-icon-accent-orange,#E06C00,"Use for orange icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons.",#E06C00,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.accent.yellow,color; icon; accent; yellow,--ds-icon-accent-yellow,#B38600,"Use for yellow icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons.",#B38600,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.accent.green,color; icon; accent; green,--ds-icon-accent-green,#22A06B,"Use for green icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons.",#22A06B,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.accent.teal,color; icon; accent; teal,--ds-icon-accent-teal,#2898BD,"Use for teal icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons.",#2898BD,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.accent.blue,color; icon; accent; blue,--ds-icon-accent-blue,#357DE8,"Use for blue icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons.",#357DE8,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.accent.purple,color; icon; accent; purple,--ds-icon-accent-purple,#AF59E1,"Use for purple icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons.",#AF59E1,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.accent.magenta,color; icon; accent; magenta,--ds-icon-accent-magenta,#CD519D,"Use for magenta icons on non-bold backgrounds when there is no meaning tied to the color, such as file type icons.",#CD519D,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.accent.gray,color; icon; accent; gray,--ds-icon-accent-gray,#7D818A,"Use for icons on non-bold gray accent backgrounds, such as file type icons.",#7D818A,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.disabled,color; icon; disabled,--ds-icon-disabled,#080F214A,Use for icons in a disabled state.,#080F214A,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.inverse,color; icon; inverse,--ds-icon-inverse,#FFFFFF,Use for icons on bold backgrounds.,#FFFFFF,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.selected,color; icon; selected,--ds-icon-selected,#1868DB,"Use for icons in selected or opened states, such as those used in dropdown buttons.",#1868DB,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.brand,color; icon; brand,--ds-icon-brand,#1868DB,Use for icons that reinforce our brand.,#1868DB,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.danger,color; icon; danger,--ds-icon-danger,#C9372C,"Use for icons communicating critical information, such as those used in error handing.",#C9372C,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.warning,color; icon; warning; [default],--ds-icon-warning,#E06C00,"Use for icons communicating caution, such as those used in warning section messages.",#E06C00,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.warning.inverse,color; icon; warning; inverse,--ds-icon-warning-inverse,#292A2E,Use for icons when on bold warning backgrounds.,#292A2E,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.success,color; icon; success,--ds-icon-success,#6A9A23,"Use for icons communicating a favorable outcome, such as those used in success section messaged.",#6A9A23,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.discovery,color; icon; discovery,--ds-icon-discovery,#AF59E1,"Use for icons communicating change or something new, such as discovery section messages.",#AF59E1,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.information,color; icon; information,--ds-icon-information,#357DE8,"Use for icons communicating information or something in-progress, such as information section messages.",#357DE8,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.subtlest,color; icon; subtlest,--ds-icon-subtlest,#6B6E76,Use for icons paired with color.text.subtlest,#6B6E76,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.icon.subtle,color; icon; subtle,--ds-icon-subtle,#505258,Use for icons paired with color.text.subtle,#505258,The color for icons. Use for graphical icon elements (e.g. color.icon.brand),color; fill; stroke,token-metadata.codegen.js
color.link,color; link; [default],--ds-link,#1868DB,Use for links in a default or hovered state. Add an underline for hovered states.,#1868DB,The color for hyperlinks. Use for elements that are links to external resources or navigation (e.g. color.link),color,token-metadata.codegen.js
color.link.pressed,color; link; pressed,--ds-link-pressed,#1558BC,Use for links in a pressed state.,#1558BC,The color for hyperlinks. Use for elements that are links to external resources or navigation (e.g. color.link),color,token-metadata.codegen.js
color.link.visited,color; link; visited; [default],--ds-link-visited,#803FA5,Use for visited links.,#803FA5,The color for hyperlinks. Use for elements that are links to external resources or navigation (e.g. color.link),color,token-metadata.codegen.js
color.link.visited.pressed,color; link; visited; pressed,--ds-link-visited-pressed,#48245D,Use for visited links in a pressed state.,#48245D,The color for hyperlinks. Use for elements that are links to external resources or navigation (e.g. color.link),color,token-metadata.codegen.js
color.interaction.hovered,color; interaction; hovered,--ds-interaction-hovered,#00000029,"Use as a background overlay for elements in a hovered state when their background color cannot change, such as avatars.",#00000029,"Transparent interaction states for use over elements when their background color cannot change, such as images and avatars.",background-color; border-color,token-metadata.codegen.js
color.interaction.pressed,color; interaction; pressed,--ds-interaction-pressed,#00000052,"Use as a background overlay for elements in a pressed state when their background color cannot change, such as avatars.",#00000052,"Transparent interaction states for use over elements when their background color cannot change, such as images and avatars.",background-color; border-color,token-metadata.codegen.js
color.skeleton,color; skeleton; [default],--ds-skeleton,#0515240F,Use for skeleton loading states,#0515240F,The color for skeleton/loading placeholders (e.g. color.skeleton),background-color,token-metadata.codegen.js
color.skeleton.subtle,color; skeleton; subtle,--ds-skeleton-subtle,#17171708,Use for the pulse or shimmer effect in skeleton loading states,#17171708,The color for skeleton/loading placeholders (e.g. color.skeleton),background-color,token-metadata.codegen.js
color.blanket,color; blanket; [default],--ds-blanket,#050C1F75,Use for the screen overlay that appears with modal dialogs,#050C1F75,"The color for overlay ""blankets"" such as modals/dimmers/overlays (e.g. color.blanket)",background-color,token-metadata.codegen.js
color.blanket.selected,color; blanket; selected,--ds-blanket-selected,#388BFF14,"Use as an overlay to communicate selected states when a simple background color change isn't possible, such as in Editor block elements",#388BFF14,"The color for overlay ""blankets"" such as modals/dimmers/overlays (e.g. color.blanket)",background-color,token-metadata.codegen.js
color.blanket.danger,color; blanket; danger,--ds-blanket-danger,#EF5C4814,"Use as an overlay to communicate danger states when a simple background color change isn't possible, such as deletion of Editor block elements",#EF5C4814,"The color for overlay ""blankets"" such as modals/dimmers/overlays (e.g. color.blanket)",background-color,token-metadata.codegen.js
color.chart.categorical.1,color; chart; categorical; 1; [default],--ds-chart-categorical-1,#357DE8,For data visualisation only. Follow numbered sequence.,#357DE8,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.categorical.1.hovered,color; chart; categorical; 1; hovered,--ds-chart-categorical-1-hovered,#1868DB,Hovered state of color.chart.categorical.1.,#1868DB,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.categorical.2,color; chart; categorical; 2; [default],--ds-chart-categorical-2,#82B536,For data visualisation only. Follow numbered sequence.,#82B536,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.categorical.2.hovered,color; chart; categorical; 2; hovered,--ds-chart-categorical-2-hovered,#6A9A23,Hovered state of color.chart.categorical.2.,#6A9A23,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.categorical.3,color; chart; categorical; 3; [default],--ds-chart-categorical-3,#BF63F3,For data visualisation only. Follow numbered sequence.,#BF63F3,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.categorical.3.hovered,color; chart; categorical; 3; hovered,--ds-chart-categorical-3-hovered,#AF59E1,Hovered state of color.chart.categorical.3.,#AF59E1,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.categorical.4,color; chart; categorical; 4; [default],--ds-chart-categorical-4,#F68909,For data visualisation only. Follow numbered sequence.,#F68909,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
